NUTS1;NUTS2;NUTS3;NUTS3_NAME;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;TOUR_REG;REGION;STATUS;POP_TOTAL;AREA;ALTITUDE;REF_DATE
AT2;AT22;AT221;Graz;601;Graz-Stadt;60101;Graz ;Region Graz;Steirischer Zentralraum;Statutarstadt;292630;12756,67;350;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;3040;1554,66;331;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60318;Lannach ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;3647;1984,32;340;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60323;Pölfing-Brunn ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;1602;615,77;329;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60324;Preding ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;1905;1819,54;335;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;1693;1329,49;353;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;1240;1095,04;376;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60341;Wettmannstätten ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;1662;1796,64;299;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60344;Deutschlandsberg ;Süd-Weststeiermark;Südweststeiermark;Stadtgemeinde ;11676;17906,24;370;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60345;Eibiswald ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;6365;15212,72;382;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60346;Groß Sankt Florian ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;4124;4879,55;312;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;3078;3916,58;334;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;3596;4921,43;401;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60349;Bad Schwanberg ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;4471;12424,60;418;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60350;Stainz ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;8686;9246,48;339;01.01.2022
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60351;Wies ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;4252;7643,82;335;01.01.2022
AT2;AT22;AT221;Graz;606;Graz-Umgebung;60608;Feldkirchen bei Graz ;Region Graz;Steirischer Zentralraum;Marktgemeinde;7133;1155,61;342;01.01.2022
AT2;AT22;AT221;Graz;606;Graz-Umgebung;60611;Gössendorf ;Region Graz;Steirischer Zentralraum;Marktgemeinde;4215;717,95;333;01.01.2022
AT2;AT22;AT221;Graz;606;Graz-Umgebung;60613;Gratkorn ;Region Graz;Steirischer Zentralraum;Marktgemeinde;8374;3456,45;392;01.01.2022
AT2;AT22;AT221;Graz;606;Graz-Umgebung;60617;Hart bei Graz ;Region Graz;Steirischer Zentralraum;Gemeinde;5414;1101,48;369;01.01.2022
AT2;AT22;AT221;Graz;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad ;Region Graz;Steirischer Zentralraum;Gemeinde;1581;666,00;424;01.01.2022
